"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group D","some college","free/reduced","none","85","75","79"
"male","group E","some high school","free/reduced","none","79","80","70"
"female","group C","bachelor's degree","standard","none","84","83","86"
"female","group C","high school","standard","completed","47","65","67"
"female","group C","associate's degree","standard","none","88","99","96"
"male","group C","some college","free/reduced","none","43","45","37"
"male","group C","high school","standard","none","61","55","54"
"male","group D","some college","standard","none","62","59","55"
"male","group C","associate's degree","free/reduced","none","77","78","80"
"female","group D","associate's degree","standard","completed","93","100","100"
"female","group C","some high school","free/reduced","none","63","73","66"
"female","group B","high school","standard","none","51","62","54"
"male","group C","some high school","free/reduced","none","38","44","37"
"female","group D","some high school","free/reduced","none","49","55","53"
"male","group E","some high school","standard","none","63","54","41"
"female","group C","some high school","standard","none","83","87","82"
"male","group E","some college","free/reduced","completed","86","90","89"
"female","group D","some high school","free/reduced","none","42","50","49"
"male","group B","some high school","standard","completed","62","67","60"
"female","group C","some college","standard","none","71","71","69"
"female","group E","associate's degree","standard","none","83","72","75"
"male","group B","some high school","standard","none","56","55","54"
"male","group C","associate's degree","standard","none","56","57","50"
"female","group E","high school","free/reduced","none","61","73","68"
"female","group D","master's degree","standard","none","65","76","77"
"male","group C","some college","standard","none","66","67","60"
"male","group A","associate's degree","standard","none","59","51","51"
"male","group E","some high school","standard","completed","68","61","60"
"female","group D","high school","standard","none","69","78","79"
"female","group C","high school","free/reduced","completed","47","63","63"
"male","group D","some high school","standard","none","71","63","60"
"male","group A","high school","standard","none","68","64","57"
"male","group B","high school","standard","none","75","72","68"
"female","group C","associate's degree","standard","none","59","64","64"
"male","group E","some college","free/reduced","completed","61","56","54"
"female","group B","some college","free/reduced","completed","60","77","76"
"male","group A","some college","standard","none","89","84","83"
"female","group E","associate's degree","standard","completed","80","93","96"
"female","group B","some college","free/reduced","none","71","77","84"
"female","group B","some high school","standard","none","63","69","70"
"female","group D","high school","standard","none","58","68","68"
"female","group A","associate's degree","standard","none","57","63","59"
"male","group C","some college","free/reduced","none","56","50","52"
"female","group C","associate's degree","standard","completed","69","72","76"
"male","group B","high school","standard","completed","78","79","76"
"female","group D","some college","standard","completed","62","84","87"
"female","group C","some high school","free/reduced","none","35","43","47"
"male","group C","associate's degree","standard","none","71","61","60"
"male","group B","high school","free/reduced","none","20","23","19"
"female","group A","bachelor's degree","standard","completed","84","99","100"
"male","group B","some high school","free/reduced","completed","80","82","83"
"male","group B","some high school","free/reduced","completed","71","63","64"
"male","group C","bachelor's degree","standard","none","87","92","88"
"male","group C","bachelor's degree","standard","completed","78","76","76"
"female","group D","associate's degree","standard","completed","73","78","80"
"female","group D","some high school","free/reduced","completed","60","77","76"
"female","group A","some college","standard","none","90","93","94"
"female","group A","some college","standard","none","60","62","67"
"male","group D","some college","standard","completed","87","78","75"
"female","group C","some high school","standard","none","37","49","47"
"male","group D","bachelor's degree","standard","none","69","66","69"
"male","group C","some high school","standard","completed","81","74","79"
"female","group A","bachelor's degree","standard","completed","83","86","92"
"male","group C","high school","standard","none","70","61","56"
"male","group D","bachelor's degree","standard","completed","94","100","100"
"male","group C","associate's degree","standard","none","92","79","73"
"male","group D","high school","free/reduced","completed","73","81","77"
"male","group B","high school","standard","completed","71","62","58"
"male","group C","some college","standard","completed","81","62","72"
"female","group D","high school","standard","none","80","77","82"
"male","group B","some college","standard","completed","77","76","79"
"female","group A","associate's degree","free/reduced","completed","63","76","74"
"female","group A","associate's degree","free/reduced","none","50","62","57"
"female","group C","bachelor's degree","free/reduced","completed","60","73","69"
"male","group C","high school","free/reduced","completed","66","72","60"
"male","group C","some college","standard","completed","64","66","66"
"female","group B","some high school","free/reduced","completed","68","85","83"
"female","group D","associate's degree","standard","none","89","100","100"
"male","group E","some high school","standard","completed","100","90","87"
"female","group C","bachelor's degree","free/reduced","none","71","93","86"
"male","group B","some college","standard","completed","78","70","71"
"male","group D","some college","standard","none","85","67","69"
"female","group C","some college","free/reduced","none","37","51","47"
"female","group C","some college","standard","none","37","53","53"
"male","group B","some college","standard","none","62","67","69"
"female","group A","bachelor's degree","standard","none","75","80","78"
"male","group B","some high school","standard","none","81","77","76"
"female","group E","some high school","standard","none","90","94","91"
"female","group C","some high school","standard","none","45","50","47"
"female","group D","master's degree","standard","none","69","71","75"
"female","group E","some high school","free/reduced","completed","74","79","73"
"male","group E","high school","standard","none","85","77","75"
"male","group E","associate's degree","free/reduced","none","96","90","83"
"male","group D","some college","standard","none","66","56","59"
"female","group E","associate's degree","standard","none","100","100","100"
"male","group C","some college","free/reduced","completed","68","73","72"
"female","group B","bachelor's degree","standard","none","56","73","76"
"female","group E","some college","standard","none","77","75","74"
"male","group C","bachelor's degree","free/reduced","completed","72","72","71"
"male","group E","some high school","standard","completed","100","91","88"
